"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bosnia and Herzegovina","BIH","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3915.07089091966","4200.25622110881","4285.6498136104","4160.27655849919","4124.58569157203","4084.61086887599","4044.55198356144","4253.50109682732","4397.32260964566","4663.67011770757","4917.68855198588","5100.06841334956","","",
"Belarus","BLR","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2090.15643320188","1664.71465439206","1277.3470546705","1150.44109897498","1222.95866196644","1388.98051319927","1571.67659787692","1657.9891198538","1855.36387647788","2069.00962338027","2273.18224520733","2549.13949437402","2935.15397399044","3382.70290926105","3904.82316765751","4347.36871494573","5125.55479974071","4884.96797798198","5505.32848719373","6302.53130727058","6614.81506360446","6617.97772119053","6774.75924915925","6459.63272639952","6089.98794976668","6295.31666579088","","",
"Belize","BLZ","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","3184.02309031636","2494.87965769182","2393.347792581","2297.88111267417","2250.26930241217","1980.96592978972","2111.32054956096","2448.10172046381","2684.56524707783","2848.71319384734","3183.96273766695","3293.20529101589","3505.14993677339","3616.15018597733","3632.57770459924","3675.20928933114","3541.1618834285","3460.67643550252","3446.80669774076","3483.413667028","3379.68690116227","3364.60216846572","3471.29805935207","3448.83724162465","3376.51852262598","3392.66912760143","3329.90440483019","3195.42611317064","3015.28508666337","3178.00497681295","3022.69845201245","3119.77750122399","3233.05076913918","3286.27913969262","3337.4528230589","3686.85300751172","3590.68325221264","3437.91149449389","","",
"Bermuda","BMU","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","1377.54084615757","1393.50140794807","1321.85224432206","1290.21189234747","1222.1424663585","1241.78521316844","1126.98188194712","1090.48277697193","1064.84298914721","1084.64659545836","1021.13635623673","1040.58080238398","1036.5664924368","1038.6642637624","1063.22180960122","1097.15001268658","1091.77673206627","1097.76989206081","1131.79089610258","1172.65802254876","1211.11343776168","1259.10625477411","1315.69901089165","1271.24840137214","1234.40408341379","1246.61962462969","1269.44834339674","1280.54065725182","1305.68301048314","1298.4809418337","1340.73313825833","1341.55063285077","1471.84196977687","1482.64308787812","1545.67101588493","1585.22143657266","1597.62707339519","1646.56500306851","1666.74769508942","1714.78552881183","1780.26719958928","1817.72305751906","","",
"Brazil","BRA","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","4128.72549932541","4497.99755230156","4935.05796992333","5408.60550644781","5536.55121386003","5578.43178268353","6187.11096799952","6468.39618638041","6432.36288429913","6695.69283069345","6880.44034793499","6462.18477145811","6296.50515783906","6064.95378154583","6448.69604349443","6537.07594364785","6853.75559575597","6921.72945303019","6890.23689505896","7563.92952598247","6449.99184988261","6755.85052181904","6723.69351655749","6785.80018571567","6939.22416120331","7416.11131989252","7328.10687811594","7396.49421347239","7211.19651960493","6936.79851241377","7148.39542854272","7108.12949620446","7283.96184483297","7262.9131318932","7551.47419397532","7702.62478942213","7977.52184442945","8341.90664737117","8563.82020199614","8968.31786705951","9337.19418795313","9743.86479112874","9922.36641414274","10241.6584909705","10107.2467806876","9693.36807904843","9361.54566571199","9363.80498597389","","",
"Barbados","BRB","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13912.7365687165","","","","","","","","","",
"Brunei Darussalam","BRN","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18364.5428994532","20174.6518418871","20200.0318228758","18931.1915507719","17256.3825294903","16462.5301617514","21869.4412116865","17630.8264694163","15846.3621768626","16481.8201058882","16852.611566883","17056.0366576804","18511.0691823568","18733.3815587516","20501.3848339037","22688.2789357307","23681.6643451437","23940.8435405108","29794.598311818","24699.5646258321","25507.6650034023","29255.9032029231","30574.4968725062","30297.1306000872","30022.9049239735","26673.3454867025","25226.6596364278","25648.0549487672","","",
"Bhutan","BTN","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1050.11796820539","1123.6046856678","1213.10672678106","1265.04035750809","1318.12436511644","1409.06520040482","1477.63113245354","1684.43809519902","1718.59445596857","1793.34682415092","1930.88087532138","2046.21370678653","2095.15160671772","2137.9170474573","2229.52359029662","2315.43264196271","2440.08270429231","2481.13562476393","","",
"Botswana","BWA","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","1550.40398339308","1612.77663652183","1593.38389966633","1558.4762619074","1667.4900762864","2015.99213414116","2185.67621322412","2231.53936094867","2756.77123819038","3121.04069272302","3431.98536798666","3551.11615869649","3483.05775073988","3689.48235795902","3140.3692619346","3422.80820677022","3722.95715858441","4023.71943441048","4200.73112658999","4328.27759398887","4421.97276834444","4454.86720244202","3867.12226491662","3634.40311975204","3637.4376312034","4141.48639883041","4319.07224881508","4440.75506870644","4334.46775618105","3978.22883311192","4648.7675980715","5702.3016892552","4938.34386539306","5855.36613704675","6272.74943056827","6211.03231199758","6639.60845949906","6362.57235263253","","",
"Central African Republic","CAF","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","423.501136429775","411.633361061773","387.215963199104","358.692516931329","211.055083019892","210.843432823679","222.314956220003","250.386402838776","217.442355919048","","",
"Canada","CAN","Adjusted net national income per capita (constant 2010 US$)","NY.ADJ.NNTY.PC.KD","","","","","","","","","","","18986.3241472485","19340.2831207134","20469.9717260538","21510.4477152592","22120.9068098759","22334.8908601834","23302.6364217119","23452.8582508383","23844.0985682074","23883.2891922939","23969.2484392693","24502.436363321","23504.8589070168","24078.1094556551","25116.7079645451","26140.0678379108","26370.9867163416","27348.9573350805","28267.3574255434","28472.6885582808","27744.9873055446","26969.2346962841","26594.1456978077","26939.9159535406","27818.3875097179","28665.5823521521","28851.3539877533","29837.0919174141","30112.4084864855","31686.0006860311","33718.8808514792","33576.2686996936","34273.8584133167","35235.03998551","36543.7702678929","38082.1733965635","38685.9310072696","39567.6984530275","39886.3992324089","36939.9796536118","38427.3680313043","39639.156836448","39861.5011422072","40428.0036664166","40991.071017287","39810.6961182251","39703.7113225711","41240.1631421676","","",
